player_id,name,pos,team,actual
761,Dawson Knox,TE,BUF,2.1
266,Chigoziem Okonkwo,TE,TEN,3.7
590,Harrison Bryant,TE,CLE,0.4
258,Cade Otton,TE,TB,2.6
1579,C.J. Uzomah,TE,NYJ,1.9
255,Jake Ferguson,TE,DAL,9.8
1979,Zach Ertz,TE,ARI,2.6
976,Durham Smythe,TE,MIA,2.5
582,Cole Kmet,TE,CHI,4.2
990,Dalton Schultz,TE,HOU,1.9
975,Tyler Conklin,TE,NYJ,5.6
306,Peyton Hendershot,TE,DAL,1.3
427,Noah Gray,TE,KC,1.9
1175,Gerald Everett,TE,LAC,9.0
256,Connor Heyward,TE,PIT,0.0
254,Isaiah Likely,TE,BAL,3.0
1241,Taysom Hill,TE,NO,3.1
1459,Chris Manhertz,TE,DEN,0.0
797,Andrew Beck,TE,HOU,0.0
269,Teagan Quitoriano,TE,HOU,0.0
420,Brevin Jordan,TE,HOU,9.3
264,Daniel Bellinger,TE,NYG,1.8
434,John Bates,TE,WAS,3.2
259,Cole Turner,TE,WAS,7.5
271,Andrew Ogletree,TE,IND,2.1
2150,Greg Zuerlein,PK,NYJ,6.2
1837,Cairo Santos,PK,CHI,3.1
1200,Harrison Butker,PK,KC,12.9
1839,Brandon McManus,PK,JAX,7.4
3130,Matt Prater,PK,ARI,15.4
864,Joey Slye,PK,WAS,5.1000000000000005
2210,Justin Tucker,PK,BAL,4.0
601,Tyler Bass,PK,BUF,16.200000000000003
1871,Jason Myers,PK,SEA,20.7
872,Chase McLaughlin,PK,TB,3.3000000000000003
982,Eddy Pineiro,PK,CAR,9.1
1460,Wil Lutz,PK,DEN,7.6000000000000005
1188,Jake Elliott,PK,PHI,12.0
776,Matt Gay,PK,IND,25.400000000000002
436,Riley Patterson,PK,DET,8.100000000000001
1228,Younghoe Koo,PK,ATL,4.2
1999,Dustin Hopkins,PK,CLE,13.0
1830,Chris Boswell,PK,PIT,16.200000000000003
2713,Graham Gano,PK,NYG,10.100000000000001
1276,Brett Maher,PK,LAR,10.5
981,Daniel Carlson,PK,LV,3.6
1003,Jason Sanders,PK,MIA,10.0
435,Evan McPherson,PK,CIN,18.400000000000002
1394,Ka'imi Fairbairn,PK,HOU,12.700000000000001
1035,Greg Joseph,PK,MIN,5.300000000000001
2939,Nick Folk,PK,TEN,4.4
5156,CHI,DST,CHI,1.0
5151,ARI,DST,ARI,8.0
5159,DAL,DST,DAL,3.0
5174,NYG,DST,NYG,-1.0
5172,NE,DST,NE,9.0
5166,KC,DST,KC,11.0
5163,HOU,DST,HOU,11.0
5154,BUF,DST,BUF,32.0
5162,GB,DST,GB,8.0
5158,CLE,DST,CLE,12.0
5181,TEN,DST,TEN,6.0
5153,BAL,DST,BAL,8.0
5171,MIN,DST,MIN,4.0
5178,SEA,DST,SEA,4.0
5157,CIN,DST,CIN,14.0
5170,MIA,DST,MIA,14.0
5176,PHI,DST,PHI,12.0
5168,LAR,DST,LAR,8.0
5155,CAR,DST,CAR,1.0
5164,IND,DST,IND,12.0
5167,LAC,DST,LAC,9.0
5175,NYJ,DST,NYJ,4.0
5173,NO,DST,NO,13.0
5180,TB,DST,TB,6.0
5165,JAX,DST,JAX,3.0
5182,WAS,DST,WAS,-1.0
5160,DEN,DST,DEN,-3.0
5161,DET,DST,DET,16.0
5177,PIT,DST,PIT,14.0
5179,SF,DST,SF,8.0
5152,ATL,DST,ATL,3.0
5169,LV,DST,LV,2.0
